Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
1001020100,1,1,20100,73.1,2.2348,3
1001020200,1,1,20200,76.9,3.3453,3
1001020400,1,1,20400,75.4,1.0216,3
1001020500,1,1,20500,79.4,1.1768,1
1001020600,1,1,20600,73.1,1.5519,3
1001020801,1,1,20801,78.3,2.3861,3
1001020802,1,1,20802,76.9,1.2628,2
1001020900,1,1,20900,73.9,1.5923,1
1001021000,1,1,21000,74,1.1528,2
1001021100,1,1,21100,72.2,1.2242,2
1003010100,1,3,10100,75.2,1.0694,2
1003010200,1,3,10200,72.9,1.5489,3
1003010300,1,3,10300,75,1.0869,1
1003010400,1,3,10400,76,2.3248,1
1003010500,1,3,10500,78,1.1512,3
1003010600,1,3,10600,71.8,1.4764,1
1003010701,1,3,10701,79.6,1.026,3
1003010703,1,3,10703,80.1,1.267,3
1003010704,1,3,10704,81,1.982,3
1003010705,1,3,10705,77.7,0.8504,2
1003010800,1,3,10800,80.5,1.2963,3
1003010903,1,3,10903,76.9,1.4921,3
1003010904,1,3,10904,75.8,1.4416,3
1003010905,1,3,10905,78.9,1.6976,3
1003010906,1,3,10906,74.8,1.3785,3
1003011000,1,3,11000,72.1,3.0571,3
1003011101,1,3,11101,80,1.142,1
1003011102,1,3,11102,78.2,2.083,3
1003011201,1,3,11201,78.6,1.1644,3
1003011202,1,3,11202,80.4,1.7078,3
1003011300,1,3,11300,82.1,2.7204,3
1003011401,1,3,11401,78.7,1.9579,1
1003011403,1,3,11403,78.3,1.0261,3
1003011405,1,3,11405,77.8,1.4406,3
1003011406,1,3,11406,78.7,1.6989,2
1003011407,1,3,11407,79.1,1.7022,3
1003011501,1,3,11501,78.5,1.6797,3
1003011502,1,3,11502,75.7,1.456,2
1003011601,1,3,11601,74.6,1.5336,3
1005950100,1,5,950100,75.7,1.4584,3
1005950200,1,5,950200,72.2,0.8552,2
1005950300,1,5,950300,75.2,2.0085,3
1005950400,1,5,950400,76.9,1.5291,3
1005950600,1,5,950600,71.2,1.9638,3
1005950700,1,5,950700,73.1,1.9222,3
1005950900,1,5,950900,73.5,1.1985,1
1007010001,1,7,10001,70.9,2.0776,3
1007010002,1,7,10002,74.4,1.3347,3
1007010003,1,7,10003,75.1,2.0507,3
1007010004,1,7,10004,73.8,1.1071,3
1009050101,1,9,50101,77.5,1.7379,1
1009050102,1,9,50102,75.6,1.0824,3
1009050200,1,9,50200,76.9,1.3941,3
1009050300,1,9,50300,77.1,0.8149,2
1009050400,1,9,50400,73.2,1.2177,1
1009050500,1,9,50500,75.7,1.1046,3
1009050601,1,9,50601,77.8,2.2247,3
1009050602,1,9,50602,77.3,1.258,1
1009050700,1,9,50700,73.6,1.0152,3
1011952100,1,11,952100,78.5,3.2116,3
1011952200,1,11,952200,76.3,1.2474,2
1011952500,1,11,952500,78,2.884,3
1013952700,1,13,952700,73.8,1.8763,3
1013952800,1,13,952800,78.1,2.0273,3
1013952900,1,13,952900,73.2,1.9614,3
1013953000,1,13,953000,71.2,1.7428,3
1013953100,1,13,953100,71.4,1.6759,3
1013953200,1,13,953200,74.1,1.5312,3
1013953300,1,13,953300,72.7,1.5978,3
1013953400,1,13,953400,72.6,1.8279,3
1015000200,1,15,200,75.6,1.78,3
1015000300,1,15,300,67.1,1.6994,3
1015000400,1,15,400,69.9,1.6385,3
1015000600,1,15,600,68.3,1.5562,3
1015000700,1,15,700,70.1,1.4806,3
1015000800,1,15,800,67.8,2.3619,3
1015000900,1,15,900,79.7,1.5121,3
1015001000,1,15,1000,76.7,1.9169,3
1015001100,1,15,1100,75.1,1.1084,3
1015001201,1,15,1201,72.7,1.1638,2
1015001202,1,15,1202,77.2,1.6017,2
1015001300,1,15,1300,67.9,1.8165,3
1015001400,1,15,1400,72.3,1.4014,3
